sku,title,status,score,approval,candidate,vendor_code,color,image_count,source_url,matched,conflicts,soft_conflicts
DYS-HS08-VINCA-BLU-TOPAZ-ORG-DIFFUSE-HK,Dyson HS08 Vinca Blue/Topaz Orange (diffuse) (HK),review,39,review,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,hs0853367001,синие румяна/топаз,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz,"model ['dyson', 'hs08'] (67%) | dyson-code ['hs08'] | color ['topaz']",,
DYS-HD16-AMB-SLK-CASE-HK,Dyson HD16 Amber Silk (Case) (HK),review,24,review,Dyson Supersonic Nural HD16 яшмовая слива,598998-02,яшмовая слива,3,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-yashmovaya-sliva,"model ['dyson', 'hd16'] (67%) | dyson-code ['hd16']",,
DYS-HD16-APRICOT-TOPAZ-CASE-KR,Dyson HD16 Apricot Topaz (Case) (KR),review,48,review,Dyson Supersonic Nural HD16 синий/топаз,464385-02,синий/топаз,3,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-siniytopaz,"model ['dyson', 'hd16'] (100%) | dyson-code ['hd16'] | color ['topaz']",,
DYS-HD16-CER-PNK-CN,Dyson HD16 Ceramic Pink (CN),likely,48,likely,Dyson Supersonic Nural HD16 керамический розовый/розовое золото,598973-02,керамический розовый/розовое золото,3,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-keramicheskiy-rozovyyrozovoe-zoloto,"model ['dyson', 'hd16'] (100%) | dyson-code ['hd16'] | color ['ceramic pink']",,
DYS-HD16-CER-PNK-CASE-HK,Dyson HD16 Ceramic Pink (Case) (HK),likely,48,likely,Dyson Supersonic Nural HD16 керамический розовый/розовое золото,598973-02,керамический розовый/розовое золото,3,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-keramicheskiy-rozovyyrozovoe-zoloto,"model ['dyson', 'hd16'] (100%) | dyson-code ['hd16'] | color ['ceramic pink']",,
DYS-HD17-JAS-PLM-EU,Dyson HD17 Jasper Plum (EU),review,12,review,Dyson V16 Piston Animal,492963-01-D,,3,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal,model ['dyson'] (50%),,
DYS-HD19-CER-PNK-HK,Dyson HD19 Ceramic Pink (HK),review,12,review,Dyson V16 Piston Animal,492963-01-D,,3,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal,model ['dyson'] (50%),,
SONY-PS-5-DUALSENSE-CHARGINGSTATION,PlayStation 5 DualSense ChargingStation оригинал,not_found,0,not_found,,,,0,,model [] (0%),family 5≠ipad,
SONY-PS-5-PORTAL-BLK,PlayStation 5 Portal Black,not_found,0,not_found,,,,0,,model [] (0%) | color ['black'],family 5≠ipad,
SONY-PS-5-PORTAL-WHT,PlayStation 5 Portal White,not_found,0,not_found,,,,0,,model [] (0%),family 5≠ipad | color ['white']≠['silver'],
SONY-PS-5-PULSE-ELITE-BLK,PlayStation 5 Pulse Elite Black,not_found,0,not_found,,,,0,,model [] (0%) | color ['black'],family 5≠ipad,
SONY-PS-5-PULSE-ELITE-WHT,PlayStation 5 Pulse Elite White,not_found,0,not_found,,,,0,,model [] (0%),family 5≠ipad | color ['white']≠['silver'],
SONY-PS-5-VR2,PlayStation 5 VR2,not_found,0,not_found,,,,0,,model [] (0%),family 5≠ipad,
SONY-SONY-DUALSENSE-BLK,Sony DualSense Black,rejected,27,rejected,Sony WH-1000XM5  черный,wh1000xm5bce7,черный,10,http://api.rocketniks.ru/api/products/sony-wh-1000xm5-chernyy,model ['sony'] (50%) | color ['black'],family black≠1000xm5,
SONY-SONY-DUALSENSE-BLU,Sony DualSense Blue,rejected,27,rejected,Sony WH-1000XM5  темно-синий,wh1000xm5lme,темно-синий,10,http://api.rocketniks.ru/api/products/sony-wh-1000xm5-temno-siniy,model ['sony'] (50%) | color ['blue'],family blue≠1000xm5,
SONY-SONY-DUALSENSE-EDGE-WHT,Sony DualSense Edge White,not_found,0,not_found,,,,0,,model [] (0%) | color ['white'],family dualsense≠bfg,
SONY-SONY-DUALSENSE-GALACTIC-PURPLE,Sony DualSense Galactic Purple,rejected,8,rejected,Sony WH-1000XM5  серый,wh1000xm5sce7,серый,10,http://api.rocketniks.ru/api/products/sony-wh-1000xm5-seryy,model ['sony'] (33%),family dualsense≠1000xm5 | color ['purple']≠['gray'],
SONY-SONY-DUALSENSE-GRAY-CAMOUFLAGE,Sony DualSense Gray Camouflage,rejected,23,rejected,Sony WH-1000XM5  серый,wh1000xm5sce7,серый,10,http://api.rocketniks.ru/api/products/sony-wh-1000xm5-seryy,model ['sony'] (33%) | color ['gray'],family camouflage≠1000xm5,
SONY-SONY-DUALSENSE-PS5-CHROME-INDIGO,Sony DualSense PS5 Chrome Indigo,rejected,5,rejected,Sony WH-1000XM5  серый,wh1000xm5sce7,серый,10,http://api.rocketniks.ru/api/products/sony-wh-1000xm5-seryy,model ['sony'] (20%),family chrome≠1000xm5,
SONY-SONY-DUALSENSE-PS5-CHROME-PEARL,Sony DualSense PS5 Chrome Pearl,rejected,5,rejected,Sony WH-1000XM5  серый,wh1000xm5sce7,серый,10,http://api.rocketniks.ru/api/products/sony-wh-1000xm5-seryy,model ['sony'] (20%),family chrome≠1000xm5,
SONY-SONY-DUALSENSE-PS5-CHROME-TEAL,Sony DualSense PS5 Chrome Teal,rejected,5,rejected,Sony WH-1000XM5  серый,wh1000xm5sce7,серый,10,http://api.rocketniks.ru/api/products/sony-wh-1000xm5-seryy,model ['sony'] (20%),family chrome≠1000xm5,
SONY-SONY-DUALSENSE-PS5-STERLING-SLV,Sony DualSense PS5 Sterling Silver,not_found,0,not_found,,,,0,,model [] (0%) | color ['silver'],family dualsense≠ipad,
SONY-SONY-DUALSENSE-PNK,Sony DualSense Pink,rejected,12,rejected,Sony WH-1000XM5  серый,wh1000xm5sce7,серый,10,http://api.rocketniks.ru/api/products/sony-wh-1000xm5-seryy,model ['sony'] (50%),family dualsense≠1000xm5 | color ['pink']≠['gray'],
SONY-SONY-DUALSENSE-RED,Sony DualSense Red,not_found,0,not_found,,,,0,,model [] (0%) | color ['red'],family dualsense≠dyson,
SONY-SONY-DUALSENSE-WHT,Sony DualSense White,not_found,0,not_found,,,,0,,model [] (0%) | color ['white'],family dualsense≠bfg,
SONY-VR2-HORIZON,VR2 с игрой Horizon,not_found,0,not_found,,,,0,,model [] (0%),family horizon≠imac,
SONY-PS5-P,Дисковод PS5 Pro,rejected,8,rejected,"Apple Macbook Pro 16.2""M4 2024  M4 Pro 14core 24GB 512GB серебристый",MX2T3,серебристый,5,http://api.rocketniks.ru/api/products/apple-macbook-pro-16-2-m4-pro-14-yader-serebristyy-24-512,model ['pro'] (33%),,
SONY-PS-5-P-2-TB,PlayStation 5 Pro 2 TB,rejected,12,rejected,"Apple iPad Pro 13"" M5 2025 5G 12GB 256GB без антибликового покрытия серебристый",ME7X4,серебристый,6,http://api.rocketniks.ru/api/products/apple-ipad-pro-13-2025-5g-12-256-serebristyy-bez-antiblikovogo-pokrytiya,model ['pro'] (50%),family 2≠ipad,
SONY-PS-5-SLIM-DISK-1-TB,PlayStation 5 Slim (DISK 1 TB) (JP-KW),rejected,16,rejected,Sony PlayStation 5 Slim,CFI-2016A01Y,,6,http://api.rocketniks.ru/api/products/sony-playstation-5-slim,"model ['playstation', 'slim'] (67%)",family 1≠5,
SONY-PS-5-SLIM-DIGITAL-1TB,PlayStation 5 Slim Digital 1tb (JP),rejected,16,rejected,Sony PlayStation 5 Slim,CFI-2016A01Y,,6,http://api.rocketniks.ru/api/products/sony-playstation-5-slim,"model ['playstation', 'slim'] (67%)",family 1tb≠5,
SONY-PS-5-SLIM-DIGITAL-825GB,PlayStation 5 Slim Digital 825gb (JP),likely,16,likely,Sony PlayStation 5 Slim,CFI-2016A01Y,,6,http://api.rocketniks.ru/api/products/sony-playstation-5-slim,"model ['playstation', 'slim'] (67%)",,
